No,Tanggal,Kabupaten Kecamatan Desa Dusun,Wilayah Subak,Koordinat,,Perubahan Kawasan,,,Foto,Sumber/Ket,Grid
,,,,X,Y,Sebelum,Sesudah,Tahun Perubahan,,,
1,9/15/2014,Panebahan,Jatiluwih,294818,9075300,ladang kosong,penambahan bangunan,2014,,sebelumnya merupakan kawasan perumahan,903
2,9/15/2014,Panebahan,Jatiluwih,295601,9075283,ladang kosong,penambahan bangunan,2014,,sebelumnya merupakan kawasan perumahan,908
3,9/15/2014,Panebahan,Jatiluwih,295515,9075225,ladang kosong,penambahan bangunan,2014,,sebelumnya merupakan kawasan perumahan,969
4,9/15/2014,Panebahan,Jatiluwih,295171,9075200,ladang kosong,penambahan bangunan,2014,,Jatiluwih 259,967
5,9/15/2014,Baturiti,Jatiluwih,295204,9075056,sawah,,2014,,GPS 205,
6,9/15/2014,Baturiti,Jatiluwih,294952,9074270,sawah,rumah-rumah sawah,2014,,,
7,9/15/2014,Bejilauh,Jatiluwih,295499,9073545,,,2014,,,
8,9/16/2014,Penebel,,295820,9076625,hutan,tambang batu,2014,Folder batu,sebelumnya kawasan hutan,
9,9/16/2014,Penebel,,295287,9075924,hutan,,2014,Folder H205A,sebelumnya kawasan hutan,
10,9/19/2014,Kantor Perbekel,,292073.49898200000,9071929.50214000000,,,,,,
11,9/19/2014,Pura Jero Taksu,,291437.33339800000,9073250.77950000000,,,,,,
12,9/19/2014,BR Wangoya Kaja,,291837.89126400000,9072509.08172000000,,,,,,
13,9/19/2014,KUD Rejasa,,291856.23311500000,9071742.50257000000,,,,,,
14,9/19/2014,Desa Batu Kambing,,291468.31493500000,9071009.71337000000,,,,,,
15,9/19/2014,Desa Pekreman Bengkel,,290877.69907900000,9071215.01157000000,,,,,,
16,9/19/2014,Desa Wangoya Gede Banjar Sanday,,291667.67524400000,9069379.07920000000,,,,,,
17,9/19/2014,BR Pematahan Kaja,,293743.79475000000,9067434.46117000000,,,,,,
18,9/19/2014,Banjar Sigaran,,294291.78243900000,9066221.56930000000,,,,,,
19,9/19/2014,Banjar Cepag,,294605.41757800000,9065834.45377000000,,,,,,
20,9/19/2014,Desa Penebel,,295204.95712400000,9069069.91541000000,,,,,,
21,9/19/2014,Dusun Wangoya Betan,,295446.53386500000,9071704.01156000000,,,,,,
22,9/19/2014,Piling Kanginan,,294675.08636900000,9069723.30487000000,,,,,,
23,9/19/2014,Piling Tengah,,294501.90587900000,9069901.26326000000,,,,,,
24,9/19/2014,Piling Kawan,,294231.31771100000,9069934.71637000000,,,,,,
25,9/20/2014,Desa Pematahan,,293460.49825700000,9066732.18732000000,,,,,,
26,9/20/2014,Desa Tegallinggah,,293331.70483800000,9066509.75442000000,,,,,,
27,9/20/2014,Desa Rejasa Kaja,,292846.71901100000,9065080.27641000000,,,,,,
28,9/20/2014,Desa Rejasa Kelod,,292786.30457700000,9064085.80697000000,,,,,,
29,9/20/2014,BD Pacut,,292412.56706800000,9063214.70152000000,,,,,,
30,9/20/2014,BD Tegal Seka,,290662.46000900000,9064141.14451000000,,,,,,
31,9/20/2014,BD Munduk Juwet,,290408.03524300000,9066072.05464000000,,,,,,
32,9/20/2014,BD Sangketan,,289994.05342600000,9067818.13499000000,,,,,,
33,9/20/2014,Pura Khayangan Dalem Solo,,290006.31286600000,9068836.27820000000,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
